SalesID,Date,Store,Region,Product,Category,QuantitySold,UnitPrice,PaymentMethod,OrderType,UnitMakingCost
S000001,2024-11-02,DC Burgers West Prime,Hub,Crispy Golden Fries,Side,10,3.34999990463257,Digital Wallet,Dine In,1
S000002,2024-06-26,DC Burgers South Hub,Hub,Smoky BBQ Beast,Burger,1,14.4700002670288,Mobile Payment,Dine In,3.5
S000003,2024-08-22,DC Burgers South Hub,Hub,Veggie Lover's Delight,Burger,7,7.30999994277954,Digital Wallet,Dine In,2
S000004,2024-12-08,DC Burgers South Hub,Prime,Ocean Fresh Fishwich,Burger,10,10.4700002670288,Credit Card,Home Delivery,2.79999995231628
S000005,2024-03-10,DC Burgers West Prime,Prime,Ultimate Double Trouble,Burger,8,12.6800003051758,Cash,Dine In,4
S000006,2024-02-19,DC Burgers Central Grill,Grill,Choco-Mint Milkshake,Beverage,3,14.4399995803833,Credit Card,Dine In,1.5
S000007,2024-02-15,DC Burgers South Hub,Delight,Ocean Fresh Fishwich,Burger,6,9.39000034332275,Credit Card,Dine In,2.79999995231628
S000008,2024-07-29,DC Burgers East Delight,Prime,Crispy Golden Fries,Side,8,14.8199996948242,Digital Wallet,Dine In,1
S000009,2024-08-02,DC Burgers East Delight,Grill,Smoky BBQ Beast,Burger,7,12.710000038147,Digital Wallet,Home Delivery,3.5
S000010,2024-05-23,DC Burgers North Hub,Hub,Crispy Golden Fries,Side,1,7.48000001907349,Cash,Dine In,1
S000011,2024-09-01,DC Burgers North Hub,Delight,Crispy Golden Fries,Side,4,14.6599998474121,Digital Wallet,Home Delivery,1
S000012,2024-05-21,DC Burgers Central Grill,Prime,Crispy Golden Fries,Side,1,13.4200000762939,Mobile Payment,Home Delivery,1
S000013,2024-07-04,DC Burgers Central Grill,Prime,Cheesy Loaded Nachos,Side,2,9.68000030517578,Cash,Home Delivery,2.5
S000014,2024-03-20,DC Burgers South Hub,Grill,Cheesy Loaded Nachos,Side,1,3.17000007629395,Credit Card,Home Delivery,2.5
S000015,2024-03-27,DC Burgers Central Grill,Delight,Zesty Lemonade,Beverage,7,12.789999961853,Credit Card,Dine In,1
S000016,2024-01-28,DC Burgers Central Grill,Delight,Classic Cola Fizz,Beverage,4,11.1800003051758,Credit Card,Dine In,0.699999988079071
S000017,2024-03-24,DC Burgers West Prime,Prime,Ultimate Double Trouble,Burger,2,9.97999954223633,Mobile Payment,Dine In,4
S000018,2024-01-25,DC Burgers Central Grill,Prime,Ultimate Double Trouble,Burger,2,11.1099996566772,Digital Wallet,Home Delivery,4
S000019,2024-02-14,DC Burgers East Delight,Grill,Smoky BBQ Beast,Burger,2,8.09000015258789,Credit Card,Dine In,3.5
S000020,2024-12-19,DC Burgers North Hub,Hub,Veggie Lover's Delight,Burger,9,8.23999977111816,Mobile Payment,Dine In,2
S000021,2024-01-13,DC Burgers West Prime,Grill,Smoky BBQ Beast,Burger,7,8.67000007629395,Cash,Home Delivery,3.5
S000022,2024-12-09,DC Burgers North Hub,Grill,Cheesy Loaded Nachos,Side,10,14.4200000762939,Credit Card,Home Delivery,2.5
S000023,2024-01-19,DC Burgers Central Grill,Delight,Spicy Chicken Inferno,Side,5,13.3699998855591,Digital Wallet,Home Delivery,3
S000024,2024-08-20,DC Burgers East Delight,Prime,Veggie Lover's Delight,Burger,1,14.9499998092651,Mobile Payment,Dine In,2
S000025,2024-06-04,DC Burgers West Prime,Grill,Ultimate Double Trouble,Burger,6,7.8600001335144,Mobile Payment,Home Delivery,4
S000026,2024-01-12,DC Burgers East Delight,Prime,Cheesy Loaded Nachos,Side,1,11.5500001907349,Credit Card,Dine In,2.5
S000027,2024-01-17,DC Burgers South Hub,Hub,Spicy Chicken Inferno,Side,6,7.09999990463257,Mobile Payment,Home Delivery,3
S000028,2024-02-17,DC Burgers West Prime,Prime,Cheesy Loaded Nachos,Side,8,9.32999992370605,Mobile Payment,Dine In,2.5
S000029,2024-05-21,DC Burgers South Hub,Hub,Cheesy Loaded Nachos,Side,3,10.6999998092651,Credit Card,Dine In,2.5
S000030,2024-07-27,DC Burgers West Prime,Prime,Crispy Golden Fries,Side,2,8.21000003814697,Digital Wallet,Dine In,1
S000031,2024-08-07,DC Burgers Central Grill,Prime,Choco-Mint Milkshake,Beverage,4,3.69000005722046,Mobile Payment,Home Delivery,1.5
S000032,2024-06-10,DC Burgers West Prime,Hub,Ocean Fresh Fishwich,Burger,7,14.6199998855591,Credit Card,Dine In,2.79999995231628
S000033,2024-11-16,DC Burgers North Hub,Hub,Ocean Fresh Fishwich,Burger,8,11.6599998474121,Credit Card,Home Delivery,2.79999995231628
S000034,2024-02-25,DC Burgers East Delight,Grill,Crispy Golden Fries,Side,4,9.14999961853027,Credit Card,Dine In,1
S000035,2024-03-05,DC Burgers North Hub,Delight,Classic Cola Fizz,Beverage,3,15,Credit Card,Dine In,0.699999988079071
S000036,2024-03-06,DC Burgers Central Grill,Prime,Classic Cola Fizz,Beverage,7,12.1999998092651,Credit Card,Home Delivery,0.699999988079071
S000037,2024-08-13,DC Burgers South Hub,Hub,Cheesy Loaded Nachos,Side,9,11.75,Digital Wallet,Dine In,2.5
S000038,2024-10-16,DC Burgers South Hub,Hub,Cheesy Loaded Nachos,Side,6,9.22000026702881,Mobile Payment,Dine In,2.5
S000039,2024-08-15,DC Burgers South Hub,Hub,Spicy Chicken Inferno,Side,10,14.8699998855591,Mobile Payment,Home Delivery,3
S000040,2024-05-15,DC Burgers South Hub,Hub,Choco-Mint Milkshake,Beverage,7,12.0699996948242,Cash,Dine In,1.5
S000041,2024-09-02,DC Burgers North Hub,Delight,Cheesy Loaded Nachos,Side,7,6.23999977111816,Cash,Dine In,2.5
S000042,2024-03-19,DC Burgers West Prime,Hub,Ocean Fresh Fishwich,Burger,4,5.46999979019165,Digital Wallet,Dine In,2.79999995231628
S000043,2024-10-08,DC Burgers South Hub,Prime,Ultimate Double Trouble,Burger,10,14.1999998092651,Mobile Payment,Home Delivery,4
S000044,2024-03-07,DC Burgers South Hub,Prime,Choco-Mint Milkshake,Beverage,6,4.71000003814697,Mobile Payment,Home Delivery,1.5
S000045,2024-07-23,DC Burgers South Hub,Prime,Choco-Mint Milkshake,Beverage,6,8.28999996185303,Credit Card,Home Delivery,1.5
S000046,2024-03-31,DC Burgers Central Grill,Prime,Ocean Fresh Fishwich,Burger,3,10.7600002288818,Mobile Payment,Dine In,2.79999995231628
S000047,2024-02-28,DC Burgers East Delight,Prime,Choco-Mint Milkshake,Beverage,3,12.5799999237061,Credit Card,Dine In,1.5
S000048,2024-02-06,DC Burgers East Delight,Prime,Cheesy Loaded Nachos,Side,3,8.19999980926514,Digital Wallet,Dine In,2.5
S000049,2024-03-23,DC Burgers East Delight,Grill,Ultimate Double Trouble,Burger,3,14.6800003051758,Credit Card,Dine In,4
S000050,2024-09-19,DC Burgers North Hub,Hub,Classic Cola Fizz,Beverage,2,10.539999961853,Digital Wallet,Home Delivery,0.699999988079071
S000051,2024-08-29,DC Burgers Central Grill,Hub,Cheesy Loaded Nachos,Side,1,5.07999992370605,Credit Card,Home Delivery,2.5
S000052,2024-08-13,DC Burgers Central Grill,Hub,Spicy Chicken Inferno,Side,5,11.3000001907349,Digital Wallet,Home Delivery,3
S000053,2024-07-04,DC Burgers North Hub,Grill,Choco-Mint Milkshake,Beverage,1,4.61999988555908,Digital Wallet,Dine In,1.5
S000054,2024-09-08,DC Burgers North Hub,Hub,Ultimate Double Trouble,Burger,6,3.26999998092651,Mobile Payment,Dine In,4
S000055,2024-02-11,DC Burgers East Delight,Prime,Zesty Lemonade,Beverage,4,7.25,Cash,Home Delivery,1
S000056,2024-10-08,DC Burgers South Hub,Prime,Cheesy Loaded Nachos,Side,5,5.55999994277954,Mobile Payment,Home Delivery,2.5
S000057,2024-09-26,DC Burgers East Delight,Grill,Crispy Golden Fries,Side,10,7.5,Mobile Payment,Home Delivery,1
S000058,2024-06-26,DC Burgers West Prime,Hub,Crispy Golden Fries,Side,7,6.80000019073486,Digital Wallet,Dine In,1
S000059,2024-10-11,DC Burgers East Delight,Grill,Zesty Lemonade,Beverage,5,8.80000019073486,Digital Wallet,Dine In,1
S000060,2024-04-03,DC Burgers Central Grill,Prime,Smoky BBQ Beast,Burger,3,4.57000017166138,Cash,Dine In,3.5
S000061,2024-04-26,DC Burgers East Delight,Prime,Classic Cola Fizz,Beverage,9,8.72999954223633,Credit Card,Dine In,0.699999988079071
S000062,2024-12-15,DC Burgers West Prime,Prime,Classic Cola Fizz,Beverage,1,7.07000017166138,Cash,Dine In,0.699999988079071
S000063,2024-01-16,DC Burgers West Prime,Hub,Ultimate Double Trouble,Burger,4,8.78999996185303,Digital Wallet,Home Delivery,4
S000064,2024-11-15,DC Burgers Central Grill,Prime,Cheesy Loaded Nachos,Side,3,3.77999997138977,Digital Wallet,Home Delivery,2.5
S000065,2024-03-27,DC Burgers East Delight,Grill,Ocean Fresh Fishwich,Burger,8,14.6400003433228,Cash,Dine In,2.79999995231628
S000066,2024-07-23,DC Burgers East Delight,Grill,Veggie Lover's Delight,Burger,6,4.69999980926514,Digital Wallet,Dine In,2
S000067,2024-08-18,DC Burgers East Delight,Prime,Veggie Lover's Delight,Burger,2,12.4099998474121,Mobile Payment,Dine In,2
S000068,2024-05-12,DC Burgers Central Grill,Delight,Classic Cola Fizz,Beverage,7,8,Mobile Payment,Home Delivery,0.699999988079071
S000069,2024-01-06,DC Burgers South Hub,Hub,Smoky BBQ Beast,Burger,2,5.28999996185303,Cash,Home Delivery,3.5
S000070,2024-01-28,DC Burgers North Hub,Grill,Classic Cola Fizz,Beverage,7,13.6700000762939,Cash,Dine In,0.699999988079071
S000071,2024-08-26,DC Burgers Central Grill,Hub,Crispy Golden Fries,Side,6,9.22000026702881,Credit Card,Home Delivery,1
S000072,2024-06-18,DC Burgers West Prime,Prime,Zesty Lemonade,Beverage,7,13.210000038147,Credit Card,Dine In,1
S000073,2024-02-01,DC Burgers East Delight,Prime,Crispy Golden Fries,Side,8,12.6400003433228,Digital Wallet,Home Delivery,1
S000074,2024-10-21,DC Burgers Central Grill,Delight,Zesty Lemonade,Beverage,2,10.4399995803833,Credit Card,Home Delivery,1
S000075,2024-11-29,DC Burgers Central Grill,Delight,Ultimate Double Trouble,Burger,9,3.4300000667572,Mobile Payment,Home Delivery,4
S000076,2024-11-22,DC Burgers Central Grill,Hub,Spicy Chicken Inferno,Side,3,11.6499996185303,Mobile Payment,Dine In,3
S000077,2024-12-29,DC Burgers East Delight,Prime,Ultimate Double Trouble,Burger,5,9.71000003814697,Cash,Dine In,4
S000078,2024-07-18,DC Burgers Central Grill,Hub,Ocean Fresh Fishwich,Burger,9,8.39000034332275,Credit Card,Home Delivery,2.79999995231628
S000079,2024-09-19,DC Burgers Central Grill,Hub,Crispy Golden Fries,Side,2,9.97999954223633,Mobile Payment,Home Delivery,1
S000080,2024-08-15,DC Burgers South Hub,Grill,Ocean Fresh Fishwich,Burger,8,6.69000005722046,Credit Card,Home Delivery,2.79999995231628
S000081,2024-12-19,DC Burgers East Delight,Grill,Cheesy Loaded Nachos,Side,1,12.6199998855591,Credit Card,Home Delivery,2.5
S000082,2024-12-16,DC Burgers West Prime,Prime,Cheesy Loaded Nachos,Side,8,9.09000015258789,Credit Card,Home Delivery,2.5
S000083,2024-12-09,DC Burgers West Prime,Delight,Zesty Lemonade,Beverage,2,10.1000003814697,Digital Wallet,Home Delivery,1
S000084,2024-01-24,DC Burgers North Hub,Hub,Smoky BBQ Beast,Burger,4,3.74000000953674,Credit Card,Dine In,3.5
S000085,2024-02-09,DC Burgers East Delight,Prime,Choco-Mint Milkshake,Beverage,9,7.05000019073486,Cash,Dine In,1.5
S000086,2024-12-10,DC Burgers Central Grill,Grill,Classic Cola Fizz,Beverage,3,13.2399997711182,Cash,Home Delivery,0.699999988079071
